Country, Bronze, Silver, Gold, Total
United States,33,38,73,144,545
France,21,10,29,60,217
Italy,4,7,26,37,159
Germany,6,6,15,28,105
Australia,9,4,10,23,80
Japan,6,4,9,18,69
Canada,5,5,6,16,55
Hungary,5,4,5,13,47
Sweden,4,2,5,11,39
Netherlands,4,3,3,10,32
Spain,2,1,6,9,37
Poland,1,2,5,8,33
China,2,2,3,8,25
Brazil,1,2,3,6,23
Switzerland,1,2,3,6,23
Romania,1,1,3,5,20
Belgium,2,2,2,5,20
Denmark,1,1,2,4,15
Finland,2,0,2,4,14
Austria,1,1,3,4,20
Argentina,1,1,2,4,15
Greece,1,0,2,3,12
Mexico,1,1,1,3,10
Bulgaria,0,1,2,3,13
New Zealand,1,1,2,3,15
Norway,0,0,2,3,10
Cuba,1,1,1,3,10
Ukraine,0,1,1,2,8
South Africa,1,1,1,2,10
Egypt,0,0,1,2,5
Portugal,1,1,1,2,10
India,1,1,1,2,10
Ireland,0,1,1,2,8
Belarus,0,0,1,1,5
Turkey,0,0,1,1,5
Colombia,0,0,1,1,5
Kazakhstan,0,0,0,1,0
Czech Republic,0,0,1,1,5
Puerto Rico,0,0,0,1,0
Nigeria,0,0,1,1,5
Israel,0,0,1,1,5
Luxembourg,0,0,1,1,5
Croatia,0,0,0,1,0
Chile,0,0,0,1,0
Jamaica,0,0,0,1,0
Thailand,0,0,1,1,5
Kenya,0,0,0,1,0
Philippines,0,0,1,1,5
Uzbekistan,0,0,0,1,0
Morocco,0,0,0,1,0
Lithuania,0,0,1,1,5
Slovenia,0,0,0,1,0
Algeria,0,0,1,1,5
Tunisia,0,0,0,1,0
Slovakia,0,0,0,1,0
Peru,0,0,0,1,0
Hong Kong,0,0,1,1,5
Malaysia,0,0,1,1,5
Uruguay,0,0,0,1,0
Serbia,0,0,0,1,0
Latvia,0,0,1,1,5
Mongolia,0,0,0,0,0
Pakistan,0,0,0,0,0
Estonia,0,0,0,0,0
Guatemala,0,0,0,0,0
Indonesia,0,0,0,0,0
Azerbaijan,0,0,0,0,0
Iceland,0,0,0,0,0
Singapore,0,0,0,0,0
Dominican Republic,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0
Ecuador,0,0,0,0,0
Senegal,0,0,0,0,0
Ethiopia,0,0,0,0,0
Georgia,0,0,0,0,0
Bahamas,0,0,0,0,0
Zimbabwe,0,0,0,0,0
Ghana,0,0,0,0,0
Cameroon,0,0,0,0,0
Angola,0,0,0,0,0
Uganda,0,0,0,0,0
Kyrgyzstan,0,0,0,0,0
Fiji,0,0,0,0,0
Lebanon,0,0,0,0,0
Costa Rica,0,0,0,0,0
El Salvador,0,0,0,0,0
Kuwait,0,0,0,0,0
Zambia,0,0,0,0,0
Iraq,0,0,0,0,0
Cyprus,0,0,0,0,0
Saudi Arabia,0,0,0,0,0
Armenia,0,0,0,0,0
Barbados,0,0,0,0,0
Qatar,0,0,0,0,0
Honduras,0,0,0,0,0
Bermuda,0,0,0,0,0
Sri Lanka,0,0,0,0,0
Panama,0,0,0,0,0
Paraguay,0,0,0,0,0
Mauritius,0,0,0,0,0
Bahrain,0,0,0,0,0
San Marino,0,0,0,0,0
Nicaragua,0,0,0,0,0
Monaco,0,0,0,0,0
Seychelles,0,0,0,0,0
Madagascar,0,0,0,0,0
Papua New Guinea,0,0,0,0,0
Guam,0,0,0,0,0
United Arab Emirates,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0
Afghanistan,0,0,0,0,0
Haiti,0,0,0,0,0
Jordan,0,0,0,0,0
Malta,0,0,0,0,0
Montenegro,0,0,0,0,0
Liechtenstein,0,0,0,0,0
Mali,0,0,0,0,0
Samoa,0,0,0,0,0
Sudan,0,0,0,0,0
Botswana,0,0,0,0,0
Guinea,0,0,0,0,0
Sierra Leone,0,0,0,0,0
Myanmar,0,0,0,0,0
Nepal,0,0,0,0,0
Guyana,0,0,0,0,0
Mozambique,0,0,0,0,0
Libya,0,0,0,0,0
Cayman Islands,0,0,0,0,0
Benin,0,0,0,0,0
Malawi,0,0,0,0,0
Namibia,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0
Tajikistan,0,0,0,0,0
Albania,0,0,0,0,0
Turkmenistan,0,0,0,0,0
Belize,0,0,0,0,0
Gabon,0,0,0,0,0
Cambodia,0,0,0,0,0
Liberia,0,0,0,0,0
Suriname,0,0,0,0,0
Grenada,0,0,0,0,0
Swaziland,0,0,0,0,0
Central African Republic,0,0,0,0,0
Burkina Faso,0,0,0,0,0
Bangladesh,0,0,0,0,0
Togo,0,0,0,0,0
Niger,0,0,0,0,0
Rwanda,0,0,0,0,0
Oman,0,0,0,0,0
Andorra,0,0,0,0,0
Lesotho,0,0,0,0,0
Eritrea,0,0,0,0,0
Aruba,0,0,0,0,0
Tonga,0,0,0,0,0
Gambia,0,0,0,0,0
Cook Islands,0,0,0,0,0
Burundi,0,0,0,0,0
Maldives,0,0,0,0,0
Vanuatu,0,0,0,0,0
American Samoa,0,0,0,0,0
Yemen,0,0,0,0,0
Djibouti,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0,0
Saint Lucia,0,0,0,0,0
Chad,0,0,0,0,0
Bhutan,0,0,0,0,0
Solomon Islands,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0
Mauritania,0,0,0,0,0
Palau,0,0,0,0,0
Comoros,0,0,0,0,0
Somalia,0,0,0,0,0
Dominica,0,0,0,0,0
Cape Verde,0,0,0,0,0
Marshall Islands,0,0,0,0,0
Kiribati,0,0,0,0,0
South Sudan,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0
Nauru,0,0,0,0,0
Côte d'Ivoire,0,0,0,0,0
Tuvalu,0,0,0,0,0
Timor,0,0,0,0,0
Congo,0,0,0,0,0
Brunei Darussalam,0,0,0,0,0
