"NOC","Year","Athletes","Sports","Events","Is host","Mean Sex","Mean Sport Participation","Mean Event Participation","Bronze Last Olympics","Silver Last Olympics","Gold Last Olympics","Bronze","Silver","Gold","Total","Rank"
"United States","1896","14","3","16","0","1","93.4074074074074","9.2962962962963",NA,NA,NA,"2","7","11","20","1"
"Greece","1896","102","9","39","1","1","62.6148648648649","11.8243243243243",NA,NA,NA,"19","18","10","47","2"
"Germany","1896","19","6","27","0","1","88.9042553191489","11.9787234042553",NA,NA,NA,"2","5","6","13","3"
"France","1896","12","6","18","0","1","69.3846153846154","9.07692307692308",NA,NA,NA,"2","4","5","11","4"
"Great Britain","1896","10","7","19","0","1","59.44","10.52",NA,NA,NA,"2","3","2","7","5"
"Hungary","1896","7","6","14","0","1","76.6666666666667","12.1111111111111",NA,NA,NA,"3","1","2","6","6"
"Austria","1896","3","3","8","0","1","29.125","6.25",NA,NA,NA,"2","1","2","5","7"
"Australia","1896","1","2","5","0","1","72.8","11.4",NA,NA,NA,"0","0","2","2","8"
"Denmark","1896","3","5","12","0","1","67.4","11",NA,NA,NA,"3","2","1","6","9"
"Switzerland","1896","3","2","5","0","1","93","16.375",NA,NA,NA,"0","2","1","3","10"
"France","1900","715","19","81","1","0.985060690943044","198.325863678805","55.0336134453782","2","4","5","37","39","27","103","1"
"United States","1900","75","10","41","0","0.933333333333333","191.162962962963","17.2074074074074","2","7","11","15","14","19","48","2"
"Great Britain","1900","104","16","39","0","0.986301369863014","114.356164383562","32.4520547945205","2","3","2","9","7","15","31","3"
"Belgium","1900","64","10","31","0","1","141.53","34.21",NA,NA,NA,"4","7","6","17","5"
"Switzerland","1900","18","4","14","0","0.942307692307692","233.634615384615","41","0","2","1","1","2","6","9","6"
"Germany","1900","76","10","27","0","1","141.359223300971","57.8155339805825","2","5","6","2","3","4","9","7"
"Italy","1900","23","6","17","0","0.972222222222222","193.972222222222","44.3888888888889",NA,NA,NA,"0","2","3","5","8"
"Australia","1900","2","2","6","0","1","199.666666666667","14.3333333333333","0","0","2","3","0","2","5","9"
"Denmark","1900","13","5","14","0","1","205.916666666667","26.4166666666667","3","2","1","2","3","1","6","10"
"Hungary","1900","18","4","21","0","1","238.617647058824","25.5882352941176","3","1","2","2","2","1","5","11"
"Cuba","1900","1","1","2","0","1","317","55",NA,NA,NA,"0","1","1","2","12"
"Canada","1900","4","1","5","0","1","234","10.4285714285714",NA,NA,NA,"1","0","1","2","13"
"Spain","1900","9","4","7","0","1","152.666666666667","44.25",NA,NA,NA,"0","0","1","1","14"
"Luxembourg","1900","1","1","1","0","1","234","14",NA,NA,NA,"0","0","1","1","14"
"Austria","1900","16","4","17","0","1","188.115384615385","23.0769230769231","2","1","2","3","3","0","6","16"
"Norway","1900","7","2","9","0","1","222.793103448276","27.2068965517241",NA,NA,NA,"3","2","0","5","17"
"Netherlands","1900","35","7","18","0","1","186.082191780822","32.3835616438356",NA,NA,NA,"3","2","0","5","17"
"India","1900","1","1","5","0","1","234","11.6",NA,NA,NA,"0","2","0","2","19"
"Bohemia","1900","7","4","9","0","0.777777777777778","165.666666666667","32.3333333333333",NA,NA,NA,"1","1","0","2","20"
"Sweden","1900","10","4","16","0","1","200.962962962963","13.7777777777778",NA,NA,NA,"1","0","0","1","21"
"United States","1904","518","18","95","1","0.985572587917042","229.377817853922","52.1956717763751","15","14","19","77","78","76","231","1"
"Germany","1904","22","9","25","0","1","268.690909090909","63.0181818181818","2","3","4","6","5","4","15","2"
"Canada","1904","55","6","15","0","1","68.3114754098361","30.0327868852459","1","0","1","1","1","4","6","3"
"Cuba","1904","3","2","5","0","1","56.8333333333333","10.5","0","1","1","0","0","3","3","4"
"Hungary","1904","4","2","9","0","1","140.111111111111","7.55555555555556","2","2","1","1","1","2","4","5"
"Norway","1904","3","2","6","0","1","321.333333333333","74.5","3","2","0","0","0","2","2","7"
"Austria","1904","2","2","7","0","1","289.142857142857","64.1428571428571","3","3","0","1","1","1","3","8"
"Great Britain","1904","6","3","4","0","1","140.166666666667","30","9","7","15","0","1","1","2","9"
"Switzerland","1904","3","2","4","0","1","399.428571428571","101.714285714286","1","2","6","2","0","1","3","10"
"Greece","1904","14","3","5","0","1","139.294117647059","26.8235294117647",NA,NA,NA,"1","0","1","2","11"
"Australia","1904","2","2","6","0","1","109.666666666667","6","3","0","2","1","3","0","4","12"
"France","1904","1","1","2","0","1","201","21","37","39","27","0","1","0","1","13"
"Great Britain","1908","732","24","108","1","0.95679012345679","295.764403292181","42.8641975308642","0","1","1","39","51","56","146","1"
"United States","1908","119","10","52","0","1","598.744292237443","33.9086757990868","77","78","76","12","12","23","47","2"
"Sweden","1908","164","14","67","0","0.989130434782609","375.86231884058","65.0978260869565",NA,NA,NA,"11","6","8","25","3"
"France","1908","208","13","54","0","1","319.203761755486","75.5297805642633","0","1","0","9","5","5","19","4"
"Germany","1908","82","12","41","0","0.986486486486487","347.783783783784","50.0540540540541","6","5","4","5","5","3","13","5"
"Hungary","1908","65","8","37","0","1","421.654205607477","40.9345794392523","1","1","2","2","4","3","9","6"
"Canada","1908","87","11","42","0","1","434.331081081081","39.1418918918919","1","1","4","10","3","3","16","7"
"Norway","1908","69","7","23","0","1","425.650485436893","108.281553398058","0","0","2","3","3","2","8","8"
"Italy","1908","66","8","30","0","1","390.432989690722","111.628865979381",NA,NA,NA,"0","2","2","4","9"
"Belgium","1908","70","11","33","0","1","284.616161616162","48.6565656565657",NA,NA,NA,"2","5","1","8","10"
"Australasia","1908","30","6","20","0","1","322.729166666667","29.3541666666667",NA,NA,NA,"2","2","1","5","11"
